1;Casado;3;False;36;42;25;empleado1@empresa.com
2;Divorciado;21;False;2;36;12;empleado2@empresa.com
3;Viudo;48;True;7;30;13;empleado3@empresa.com
4;Casado;34;False;15;29;7;empleado4@empresa.com
5;Soltero;49;True;21;40;26;empleado5@empresa.com
6;Divorciado;45;True;46;28;26;empleado6@empresa.com
7;Divorciado;11;True;45;18;19;empleado7@empresa.com
8;Divorciado;37;False;39;30;7;empleado8@empresa.com
9;Casado;50;True;18;4;27;empleado9@empresa.com
10;Soltero;47;False;3;30;12;empleado10@empresa.com
11;Viudo;39;False;12;36;22;empleado11@empresa.com
12;Casado;3;False;47;48;18;empleado12@empresa.com
13;Viudo;21;False;48;21;6;empleado13@empresa.com
14;Viudo;42;False;45;45;21;empleado14@empresa.com
15;Divorciado;33;False;11;4;10;empleado15@empresa.com
16;Soltero;14;True;33;16;10;empleado16@empresa.com
17;Soltero;40;True;35;50;25;empleado17@empresa.com
18;Viudo;34;True;34;15;7;empleado18@empresa.com
19;Viudo;9;False;12;33;28;empleado19@empresa.com
20;Soltero;43;False;43;23;20;empleado20@empresa.com
21;Casado;18;True;36;47;26;empleado21@empresa.com
22;Viudo;40;False;42;34;10;empleado22@empresa.com
23;Divorciado;3;False;39;24;19;empleado23@empresa.com
24;Soltero;14;True;48;10;20;empleado24@empresa.com
25;Soltero;33;False;30;34;12;empleado25@empresa.com
26;Viudo;10;True;3;7;18;empleado26@empresa.com
27;Divorciado;17;True;27;14;14;empleado27@empresa.com
28;Casado;36;True;14;31;15;empleado28@empresa.com
29;Divorciado;2;False;41;38;27;empleado29@empresa.com
30;Divorciado;24;True;34;21;8;empleado30@empresa.com
